time_stamp	hand_count	l_hand_p(x,y,z)	r_hand_p(x,y,z)
2023-10-14 01:47:17.458	2	(-195.529877,97.198456,-60.928101)	(9.440477,114.788269,-124.136337)
2023-10-14 01:47:17.469	2	(-193.792908,99.977394,-58.338333)	(8.027363,116.970718,-118.956245)
2023-10-14 01:47:17.480	2	(-190.368347,102.927704,-53.875172)	(8.414486,120.738136,-115.060257)
2023-10-14 01:47:17.492	2	(-184.485291,105.794182,-49.369698)	(9.409078,125.430161,-111.091797)
2023-10-14 01:47:17.503	2	(-177.328018,108.254303,-46.126228)	(10.327238,130.226028,-106.838814)
2023-10-14 01:47:17.514	2	(-169.629807,111.592873,-43.823078)	(11.486588,135.272369,-102.978897)
2023-10-14 01:47:17.525	2	(-161.513672,114.339310,-40.596855)	(12.925949,140.404236,-98.939758)
2023-10-14 01:47:17.536	2	(-153.324554,116.339569,-36.417107)	(14.554204,145.428497,-95.406624)
2023-10-14 01:47:17.547	2	(-144.597855,118.395760,-32.719204)	(15.819759,150.065140,-91.470772)
2023-10-14 01:47:17.558	2	(-136.646255,119.777245,-28.396145)	(17.324570,154.253860,-87.784279)
2023-10-14 01:47:17.569	2	(-128.184448,120.130005,-24.041765)	(18.946064,157.980118,-83.739311)
2023-10-14 01:47:17.580	2	(-121.555420,121.120895,-19.450718)	(20.619488,162.093384,-80.254753)
2023-10-14 01:47:17.592	2	(-114.179726,121.025581,-15.190280)	(22.005650,165.544861,-76.761688)
2023-10-14 01:47:17.603	2	(-106.319550,120.922081,-11.658824)	(23.463348,168.549911,-72.340485)
2023-10-14 01:47:17.614	2	(-99.267792,120.562469,-7.256020)	(24.409809,170.380615,-69.444290)
2023-10-14 01:47:17.625	2	(-92.252998,119.936096,-3.447894)	(25.217926,171.540070,-66.236122)
2023-10-14 01:47:17.636	2	(-85.584198,118.951889,0.301949)	(24.711882,171.730789,-62.885303)
2023-10-14 01:47:17.647	2	(-78.849785,118.077591,3.732189)	(25.162210,171.910599,-59.862850)
2023-10-14 01:47:17.659	2	(-72.660339,117.072502,7.209010)	(26.122604,172.355255,-57.195713)
2023-10-14 01:47:17.670	2	(-67.086624,116.192879,10.359433)	(26.995022,173.849792,-54.564766)
2023-10-14 01:47:17.681	2	(-61.724430,115.440094,12.951612)	(25.651794,174.675034,-53.104950)
2023-10-14 01:47:17.692	2	(-56.960049,114.262154,15.811872)	(25.654537,175.805450,-51.321487)
2023-10-14 01:47:17.703	1	(-52.845150,113.330048,18.099426)	(x,x,x)
2023-10-14 01:47:17.714	1	(-48.880497,111.977013,19.646584)	(x,x,x)
2023-10-14 01:47:17.726	1	(-45.603008,110.623100,21.293234)	(x,x,x)
2023-10-14 01:47:17.737	1	(-42.210854,109.715096,22.406408)	(x,x,x)
2023-10-14 01:47:17.748	1	(-39.738476,108.768806,23.775450)	(x,x,x)
2023-10-14 01:47:17.759	1	(-37.613476,108.097511,24.654694)	(x,x,x)
2023-10-14 01:47:17.770	1	(-35.968639,107.382683,25.029243)	(x,x,x)
2023-10-14 01:47:17.781	1	(-34.604588,106.631233,25.491747)	(x,x,x)
2023-10-14 01:47:17.793	1	(-33.665710,106.065735,26.000126)	(x,x,x)
2023-10-14 01:47:17.804	1	(-32.691486,105.523849,25.947340)	(x,x,x)
2023-10-14 01:47:17.815	1	(-32.021057,104.917984,25.831127)	(x,x,x)
2023-10-14 01:47:17.826	1	(-31.737015,104.198914,25.700407)	(x,x,x)
2023-10-14 01:47:17.837	1	(-31.870575,103.401100,25.504747)	(x,x,x)
2023-10-14 01:47:17.848	1	(-32.381100,102.659615,25.456921)	(x,x,x)
2023-10-14 01:47:17.859	1	(-33.180305,101.985893,25.138765)	(x,x,x)
2023-10-14 01:47:17.871	1	(-33.906624,101.364525,24.493662)	(x,x,x)
2023-10-14 01:47:17.882	1	(-34.719337,100.567352,23.440844)	(x,x,x)
2023-10-14 01:47:17.893	1	(-35.875908,100.144020,22.643526)	(x,x,x)
2023-10-14 01:47:17.904	1	(-37.573147,99.556801,21.826773)	(x,x,x)
2023-10-14 01:47:17.915	1	(-38.934769,98.864052,20.667192)	(x,x,x)
2023-10-14 01:47:17.926	1	(-41.402042,98.424263,19.297819)	(x,x,x)
2023-10-14 01:47:17.937	1	(-43.742153,98.299133,17.910593)	(x,x,x)
2023-10-14 01:47:17.949	1	(-46.261467,97.745132,15.836921)	(x,x,x)
2023-10-14 01:47:17.960	1	(-48.926846,97.611435,13.883069)	(x,x,x)
2023-10-14 01:47:17.971	1	(-51.334400,98.081490,11.901587)	(x,x,x)
2023-10-14 01:47:17.982	1	(-53.750778,98.320000,9.381509)	(x,x,x)
2023-10-14 01:47:17.994	1	(-56.123524,98.812599,6.611548)	(x,x,x)
2023-10-14 01:47:18.005	1	(-58.334949,99.774841,3.885249)	(x,x,x)
2023-10-14 01:47:18.015	1	(-60.849968,100.857025,1.321179)	(x,x,x)
2023-10-14 01:47:18.027	1	(-63.843327,101.769554,-1.226240)	(x,x,x)
2023-10-14 01:47:18.038	1	(-67.057030,103.011375,-3.780932)	(x,x,x)
2023-10-14 01:47:18.049	1	(-70.669724,104.362457,-5.818200)	(x,x,x)
2023-10-14 01:47:18.060	1	(-73.960823,105.596405,-7.522388)	(x,x,x)
2023-10-14 01:47:18.072	2	(-76.842262,106.735779,-9.663357)	(48.110203,141.413574,32.627430)
2023-10-14 01:47:18.083	2	(-78.778023,107.234825,-11.423979)	(48.457115,139.555786,35.108704)
2023-10-14 01:47:18.094	2	(-81.372734,108.904716,-13.152612)	(47.249195,138.561646,37.362965)
2023-10-14 01:47:18.105	2	(-84.352249,110.866898,-14.354403)	(45.427498,137.600052,39.432163)
2023-10-14 01:47:18.116	2	(-86.610588,112.652977,-14.811715)	(44.404537,136.560516,41.679523)
2023-10-14 01:47:18.127	2	(-88.620125,114.482903,-15.758563)	(44.264320,138.300186,43.391026)
2023-10-14 01:47:18.138	2	(-90.606926,115.975655,-16.482271)	(44.221252,139.420547,45.465233)
2023-10-14 01:47:18.149	2	(-93.019058,117.605957,-17.020926)	(43.456589,139.940399,47.526115)
2023-10-14 01:47:18.161	2	(-94.805046,119.597031,-17.295609)	(42.604355,140.151611,49.179688)
2023-10-14 01:47:18.172	2	(-96.573997,121.596535,-17.300024)	(42.044552,140.311737,50.173161)
2023-10-14 01:47:18.183	2	(-98.506653,123.878357,-16.596954)	(40.991211,140.562881,51.284195)
2023-10-14 01:47:18.194	2	(-100.411942,126.267937,-15.588001)	(39.940643,141.131104,51.965378)
2023-10-14 01:47:18.205	2	(-101.939781,128.241699,-14.809959)	(39.011513,141.309204,52.760674)
2023-10-14 01:47:18.216	2	(-103.580765,130.555420,-13.797612)	(38.338951,140.967987,52.758106)
2023-10-14 01:47:18.228	2	(-105.550789,133.355209,-12.591226)	(38.603119,141.061890,52.544678)
2023-10-14 01:47:18.239	2	(-107.229202,135.799683,-11.132287)	(38.944225,140.918289,52.193615)
2023-10-14 01:47:18.250	2	(-108.638329,138.377686,-9.387069)	(39.107857,140.436844,51.221798)
2023-10-14 01:47:18.261	2	(-110.665749,140.897659,-7.516698)	(39.126900,140.392242,50.307514)
2023-10-14 01:47:18.272	2	(-112.454048,143.458069,-5.473618)	(38.783257,139.236023,49.248173)
